Odds 1,Odds 2,Results
5,10,50
8,9,50
10,6,50
9,8,50
10,6.5,50
7.5,6,50
7.5,6.5,50
7,10,50
6.5,10,50
4.5,10,50
5.5,8,50
9,10,50
9,5,50
9,5.5,50
7,7,50
7,7.5,50
6.5,7,50
6.5,7.5,50
5,9,50
9,7,50
9,7.5,50
10,8,50
7,9,50
6.5,9,50
7.5,8,50
9,9,50
5.5,10,50
10,10,50
7.5,10,50
8,6,50
8,6.5,50
10,3,50
10,3.5,50
6,8,50
8,8,50
10,5,50
10,5.5,50
6.5,6.5,50
6,10,50
7.5,5.5,50
4,10,50
8,10,50
10,7,50
10,7.5,50
6.5,8,50
7.5,7,50
7.5,7.5,50
5.5,9,50
10,9,50
7.5,9,50
8,5,50
8,5.5,50
9,4,50
9,4.5,50
6,7.5,50
7,6,50
7,6.5,50
8,7,50
8,7.5,50
9,6,50
9,6.5,50
10,4,50
10,4.5,50
6,9,50
7,8,50
7.5,4.5,49
8,4,49
8,4.5,49
9,3,49
9,3.5,49
7,5.5,49
4.5,9,49
6.5,6,49
7.5,5,49
10,2,49
10,2.5,49
6,7,49
6,6.5,48
3.5,10,48
5.5,7,48
5.5,7.5,48
5,8,48
4,9,47
7,5,47
6.5,5.5,47
9,2.5,47
8,3.5,47
6,6,46
5,7.5,46
7.5,4,46
9,2,45
5.5,6.5,44
4.5,8,43
7,4.5,43
6.5,5,42
3,10,41
8,3,41
7.5,3.5,40
5,7,39
3.5,9,38
4.5,7.5,38
4,8,38
6,5.5,37
5.5,6,36
7,4,36
2.5,10,35
5,6.5,34
8,2.5,33
6.5,4.5,32
4.5,7,30
3,9,29
7.5,3,28
6,5,28
4,7.5,27
5.5,5.5,26
7,3.5,25
2,10,24
8,2,23
6.5,4,23
5,6,21
3.5,8,21
6,4.5,19
2.5,9,19
7.5,2.5,18
5.5,5,16
4,7,16
3.5,7.5,16
4.5,6.5,16
5,5.5,15
3,8,14
7,3,13
6.5,3.5,12
4.5,6,12
2,9,9
4,6.5,8
6,4,7
3.5,7,6
7.5,2,5
5.5,4.5,5
3,7.5,4
6.5,3,3
5,5,3
4.5,5.5,3
7,2.5,3
2.5,8,3
3.5,6.5,2
3,7,2
4,6,2
5,4.5,2
6,3.5,2
5.5,4,2
3,6.5,1
3.5,6,1
4.5,5,1
2.5,7,1
2.5,7.5,1
7,2,1
2,8,1
4,5.5,1
2,7.5,1
2,2,0
2,2.5,0
6,2,0
6,2.5,0
4,2,0
4,2.5,0
3.5,2,0
3.5,2.5,0
3,6,0
5,3,0
5,3.5,0
2,4,0
2,4.5,0
2.5,3,0
2.5,3.5,0
3.5,4,0
3.5,4.5,0
4.5,3,0
4.5,3.5,0
2.5,5,0
2.5,5.5,0
3,3,0
3,3.5,0
3,5,0
3,5.5,0
4,4,0
4,4.5,0
5,2,0
5,2.5,0
2.5,2,0
2.5,2.5,0
2,6,0
2,6.5,0
6.5,2,0
6.5,2.5,0
4.5,2,0
4.5,2.5,0
5,4,0
5.5,3,0
5.5,3.5,0
2.5,4,0
2.5,4.5,0
4.5,4,0
4.5,4.5,0
2.5,6,0
2.5,6.5,0
3,2,0
3,2.5,0
2,3,0
2,3.5,0
6,3,0
3,4,0
3,4.5,0
4,3,0
4,3.5,0
3.5,3,0
3.5,3.5,0
2,5.5,0
2,5,0
4,5,0
3.5,5,0
3.5,5.5,0
5.5,2,0
5.5,2.5,0
2,7,0
