Odds 1,Odds 2,Odds 3,Odds 4,Odds 5,Results
10,3,12,10,10,50
12,10,8,6,10,50
12,12,6,6,7,50
12,7,8,6,10,50
12,12,10,8,7,50
12,10,10,6,6,50
10,12,6,12,10,50
12,12,8,7,3,50
12,10,8,8,3,50
10,12,8,7,12,50
8,12,10,10,4,50
12,8,12,7,4,50
10,12,6,6,8,50
10,10,8,8,12,50
12,12,4,6,7,50
10,12,5,10,5,50
12,8,6,7,10,50
12,7,12,7,7,50
8,12,10,5,8,50
10,12,7,5,7,50
12,7,12,10,8,50
12,8,8,3,12,50
7,8,12,10,12,50
10,10,8,10,5,50
8,12,12,10,8,50
12,7,10,8,4,50
12,3,8,12,12,50
12,10,7,12,6,50
12,3,10,12,8,50
10,10,10,6,7,50
12,12,5,12,3,50
6,12,4,12,12,50
12,7,7,12,6,50
12,7,7,7,12,50
12,8,10,8,7,50
12,10,6,12,7,50
12,12,12,6,5,50
10,10,3,10,10,50
8,10,12,8,7,50
10,12,10,10,4,50
7,12,8,12,7,50
8,12,4,12,6,50
12,12,7,8,3,50
8,10,5,12,10,50
7,12,10,12,3,50
12,8,12,4,7,50
12,10,8,8,7,50
12,8,5,8,12,50
12,12,7,6,10,50
10,12,12,8,7,50
8,10,8,10,12,50
12,12,6,8,4,50
8,12,10,10,8,50
12,8,12,7,8,50
10,12,6,6,12,50
8,10,7,8,12,50
10,12,10,7,3,50
6,12,12,12,10,50
8,10,10,10,8,50
10,12,4,12,3,50
7,12,3,12,12,50
8,12,7,7,10,50
12,10,12,10,12,50
10,12,7,10,5,50
8,10,8,12,5,50
10,12,4,10,10,50
12,7,12,10,12,50
7,12,5,12,8,50
10,12,6,8,5,50
12,8,7,4,12,50
12,5,6,10,12,50
12,7,10,8,8,50
10,12,7,8,12,50
12,12,4,3,10,50
7,10,6,12,12,50
10,12,5,7,8,50
5,12,12,10,7,50
12,10,7,12,10,50
12,7,3,10,10,50
12,10,12,12,5,50
12,12,5,12,7,50
10,12,8,6,8,50
10,10,8,7,8,50
8,12,10,12,4,50
12,8,8,10,8,50
12,6,10,12,12,50
10,12,10,10,8,50
8,12,4,12,10,50
12,8,10,10,4,50
12,10,5,10,6,50
12,12,12,3,8,50
7,12,10,12,7,50
8,12,6,8,12,50
12,8,3,12,6,50
12,12,6,8,8,50
12,8,12,7,12,50
12,12,5,4,10,50
10,12,10,7,7,50
12,8,10,5,8,50
8,12,12,4,8,50
10,8,8,12,10,50
10,10,10,8,7,50
12,12,7,5,6,50
10,12,12,7,3,50
6,10,10,12,10,50
12,10,7,6,6,50
10,10,12,8,3,50
10,12,12,10,4,50
10,10,5,12,8,50
10,12,12,5,10,50
7,12,5,12,12,50
12,7,10,8,12,50
10,12,10,4,6,50
10,12,5,12,6,50
12,7,8,7,8,50
10,12,5,7,12,50
10,12,4,4,12,50
10,8,10,8,10,50
6,12,12,6,10,50
10,12,8,6,12,50
10,12,7,7,8,50
12,12,10,12,6,50
12,10,10,10,5,50
5,12,10,12,8,50
12,7,10,10,5,50
10,8,12,3,12,50
10,10,8,7,12,50
10,10,7,8,8,50
8,12,10,12,8,50
12,7,3,12,7,50
12,8,8,10,12,50
10,7,12,10,4,50
12,8,6,8,8,50
12,12,4,10,6,50
12,12,8,6,6,50
12,8,10,10,8,50
12,10,5,10,10,50
12,12,12,3,12,50
12,10,12,4,12,50
10,8,12,10,4,50
6,8,12,12,12,50
12,12,3,8,4,50
12,12,3,3,10,50
7,12,7,10,10,50
12,10,5,12,3,50
12,10,4,8,8,50
12,10,12,3,4,50
10,12,12,10,8,50
10,10,5,12,12,50
12,10,6,3,10,50
12,12,5,6,7,50
7,10,10,10,10,50
10,12,10,4,10,50
8,12,12,12,12,50
12,10,5,7,7,50
12,7,8,7,12,50
10,10,10,10,4,50
12,7,12,8,3,50
10,10,10,5,10,50
10,12,3,10,6,50
10,12,12,4,6,50
5,12,7,12,12,50
10,10,4,10,10,50
12,12,10,12,10,50
12,8,10,12,4,50
10,10,12,5,6,50
12,3,12,12,7,50
8,12,12,6,10,50
5,12,10,12,12,50
12,5,10,8,10,50
8,10,12,12,4,50
12,4,12,10,12,50
12,8,12,8,6,50
12,10,8,12,6,50
8,12,10,12,12,50
12,5,12,8,6,50
12,7,7,8,8,50
4,12,10,12,12,50
12,8,6,8,12,50
12,12,4,10,10,50
12,12,8,6,10,50
8,12,12,8,3,50
10,6,12,7,12,50
12,3,7,12,12,50
12,4,12,12,5,50
8,12,6,12,5,50
6,12,12,8,12,50
10,5,10,10,12,50
12,10,10,7,6,50
7,12,12,7,8,50
