,game_id,period,awayTeamGoals,homeTeamGoals,isHomeTeam,HomeScore,AwayScore
12,201120001,1,0,0,1,1,0
28,201120001,1,0,1,0,1,1
29,201120001,1,1,1,0,1,2
101,201120002,2,0,0,1,1,0
132,201120002,3,0,1,1,2,0
156,201120003,1,0,0,0,0,1
161,201120003,1,1,0,0,0,2
166,201120003,1,2,0,1,1,2
177,201120003,2,2,1,0,1,3
196,201120003,2,3,1,1,2,3
212,201120003,3,3,2,1,3,3
252,201120004,1,0,0,1,1,0
283,201120004,2,0,1,0,1,1
294,201120004,2,1,1,0,1,2
307,201120004,3,2,1,0,1,3
308,201120004,3,3,1,0,1,4
316,201120004,3,4,1,0,1,5
348,201120005,1,0,0,1,1,0
361,201120005,2,0,1,1,2,0
375,201120005,2,0,2,1,3,0
378,201120005,2,0,3,1,4,0
397,201120005,3,0,4,1,5,0
404,201120005,3,0,5,0,5,1
410,201120005,3,1,5,0,5,2
421,201120005,3,2,5,0,5,3
459,201120006,2,0,0,0,0,1
471,201120006,2,1,0,1,1,1
475,201120006,2,1,1,0,1,2
482,201120006,3,2,1,0,1,3
496,201120006,3,3,1,1,2,3
519,201120007,1,0,0,1,1,0
525,201120007,1,0,1,1,2,0
544,201120007,2,0,2,0,2,1
546,201120007,2,1,2,1,3,1
562,201120007,2,1,3,1,4,1
622,201120008,2,0,0,1,1,0
654,201120008,2,0,1,1,2,0
688,201120008,3,0,2,0,2,1
696,201120009,1,0,0,1,1,0
703,201120009,1,0,1,0,1,1
744,201120009,3,1,1,0,1,2
749,201120009,3,2,1,1,2,2
763,201120009,4,2,2,1,3,2
802,201120010,2,0,0,1,1,0
804,201120010,2,0,1,0,1,1
808,201120010,2,1,1,1,2,1
839,201120010,3,1,2,1,3,1
851,201120010,3,1,3,1,4,1
878,201120011,1,0,0,1,1,0
891,201120011,1,0,1,1,2,0
903,201120011,2,0,2,1,3,0
921,201120011,2,0,3,1,4,0
926,201120011,3,0,4,0,4,1
929,201120011,3,1,4,1,5,1
941,201120011,3,1,5,0,5,2
953,201120011,3,2,5,0,5,3
954,201120011,3,3,5,0,5,4
956,201120011,3,4,5,1,6,4
958,201120011,3,4,6,0,6,5
981,201120012,1,0,0,0,0,1
1011,201120012,3,1,0,0,0,2
1015,201120012,3,2,0,0,0,3
1071,201120013,2,0,0,0,0,1
