,GameId,HomeScore,AwayScore,Period,OT
0,201120001,1,2,1,0
1,201120002,2,0,3,0
2,201120003,3,3,3,0
3,201120004,1,5,3,0
4,201120005,5,3,3,0
5,201120006,2,3,3,0
6,201120007,4,1,2,0
7,201120008,2,1,3,0
8,201120009,2,2,4,1
9,201120010,4,1,3,0
10,201120011,6,5,3,0
11,201120012,0,3,3,0
12,201120013,3,3,4,1
13,201120014,0,2,1,0
14,201120015,2,4,3,0
15,201120016,4,2,3,0
16,201120017,5,2,3,0
17,201120018,0,3,3,0
18,201120019,3,5,3,0
19,201120020,1,1,3,0
20,201120021,6,3,3,0
21,201120022,2,4,3,0
22,201120023,1,5,3,0
23,201120024,1,1,3,0
24,201120025,0,1,3,0
25,201120026,4,2,3,0
26,201120027,2,1,3,0
27,201120028,5,2,3,0
28,201120029,5,5,3,0
29,201120030,2,3,3,0
30,201120031,1,1,3,0
31,201120032,4,2,3,0
32,201120033,3,3,3,0
33,201120034,2,2,3,0
34,201120035,5,4,3,0
35,201120036,3,2,3,0
36,201120037,1,1,1,0
37,201120038,5,1,2,0
38,201120039,2,2,4,1
39,201120040,1,4,2,0
40,201120041,1,7,3,0
41,201120042,2,0,2,0
42,201120043,2,5,3,0
43,201120044,1,1,2,0
44,201120045,4,3,2,0
45,201120046,3,2,3,0
46,201120047,3,4,3,0
47,201120048,1,0,1,0
48,201120049,3,2,3,0
49,201120050,5,5,3,0
50,201120051,4,2,3,0
51,201120052,2,2,4,1
52,201120053,2,3,3,0
53,201120054,2,1,1,0
54,201120055,4,1,3,0
55,201120056,2,2,3,0
56,201120057,2,2,3,0
57,201120058,2,2,4,1
58,201120059,4,2,3,0
59,201120060,2,2,3,0
60,201120061,3,4,3,0
61,201120062,2,4,3,0
62,201120063,4,2,3,0
63,201120064,2,2,4,1
64,201120065,4,7,3,0
65,201120066,2,1,2,0
66,201120067,3,1,3,0
67,201120068,2,3,3,0
68,201120069,1,4,3,0
69,201120070,3,0,3,0
70,201120071,2,3,3,0
71,201120072,1,3,3,0
72,201120073,2,7,3,0
73,201120074,2,4,3,0
74,201120075,2,1,3,0
75,201120076,0,4,3,0
76,201120077,2,5,3,0
77,201120078,5,0,3,0
78,201120079,3,3,3,0
79,201120080,6,2,3,0
80,201120081,2,5,3,0
