,GameId,HomeScore,AwayScore
0,201120001,1,2
1,201120002,1,0
2,201120003,2,3
3,201120004,1,2
4,201120005,4,0
5,201120006,1,2
6,201120007,4,1
7,201120008,2,0
8,201120009,1,1
9,201120010,2,1
10,201120011,4,0
11,201120012,0,1
12,201120013,2,1
13,201120014,0,2
14,201120015,1,1
15,201120016,4,1
16,201120017,3,1
17,201120018,0,1
18,201120019,1,4
19,201120020,1,0
20,201120021,6,1
21,201120022,1,3
22,201120023,0,2
23,201120024,0,1
24,201120025,0,0
25,201120026,2,2
26,201120027,2,0
27,201120028,3,2
28,201120029,3,3
29,201120030,2,1
30,201120031,0,0
31,201120032,3,1
32,201120033,1,2
33,201120034,1,1
34,201120035,4,3
35,201120036,1,0
36,201120037,1,1
37,201120038,5,1
38,201120039,1,1
39,201120040,1,4
40,201120041,1,3
41,201120042,2,0
42,201120043,1,4
43,201120044,1,1
44,201120045,4,3
45,201120046,3,1
46,201120047,2,3
47,201120048,1,0
48,201120049,2,2
49,201120050,3,4
50,201120051,2,2
51,201120052,1,1
52,201120053,1,2
53,201120054,2,1
54,201120055,3,1
55,201120056,1,0
56,201120057,2,0
57,201120058,2,1
58,201120059,2,2
59,201120060,2,1
60,201120061,3,3
61,201120062,2,1
62,201120063,1,1
63,201120064,1,2
64,201120065,3,4
65,201120066,2,1
66,201120067,0,1
67,201120068,1,2
68,201120069,0,2
69,201120070,1,0
70,201120071,0,1
71,201120072,1,2
72,201120073,1,4
73,201120074,1,2
74,201120075,0,1
75,201120076,0,0
76,201120077,2,3
77,201120078,3,0
78,201120079,1,3
79,201120080,3,1
80,201120081,1,2
81,201120082,2,0
82,201120083,2,1
83,201120084,2,0
84,201120085,0,2
85,201120086,1,1
86,201120087,2,2
87,201120088,1,0
88,201120089,4,1
89,201120090,0,2
90,201120091,1,2
91,201120092,3,1
92,201120093,2,2
93,201120094,1,2
94,201120095,0,1
95,201120096,1,2
96,201120097,0,2
97,201120098,2,3
98,201120099,2,2
99,201120100,1,3
100,201120101,1,0
101,201120102,4,1
102,201120103,5,2
103,201120104,1,0
104,201120105,2,2
105,201120106,2,3
106,201120107,1,0
107,201120108,0,0
108,201120109,3,5
109,201120110,2,1
110,201120111,1,1
111,201120112,1,1
112,201120113,2,3
113,201120114,0,2
114,201120115,0,2
115,201120116,3,1
116,201120117,0,1
117,201120118,1,2
118,201120119,3,1
119,201120120,1,1
120,201120121,0,3
121,201120122,3,1
122,201120123,3,1
123,201120124,0,1
124,201120125,1,1
125,201120126,2,1
126,201120127,1,1
127,201120128,4,6
128,201120129,0,1
129,201120130,2,2
130,201120131,5,2
131,201120132,1,2
132,201120133,1,3
133,201120134,2,1
134,201120135,3,2
135,201120136,1,0
136,201120137,2,3
137,201120138,0,2
138,201120139,1,0
139,201120140,2,1
140,201120141,1,1
141,201120142,2,2
142,201120143,3,1
143,201120144,2,2
144,201120145,1,1
145,201120146,1,0
146,201120147,2,0
147,201120148,1,0
148,201120149,1,1
149,201120150,2,2
150,201120151,2,1
151,201120152,4,4
152,201120153,3,1
153,201120154,2,1
154,201120155,2,2
155,201120156,4,1
156,201120157,5,2
157,201120158,1,2
158,201120159,2,3
159,201120160,3,2
160,201120161,2,3
161,201120162,3,1
162,201120163,1,0
163,201120164,0,5
164,201120165,1,3
165,201120166,3,5
166,201120167,1,2
167,201120168,0,1
168,201120169,1,1
169,201120170,2,2
170,201120171,1,4
171,201120172,1,2
172,201120173,1,2
173,201120174,3,1
174,201120175,0,2
175,201120176,0,2
176,201120177,1,3
177,201120178,1,2
178,201120179,1,0
179,201120180,0,2
180,201120181,4,4
181,201120182,2,1
182,201120183,4,4
183,201120184,0,5
184,201120185,2,2
185,201120186,2,0
186,201120187,2,2
187,201120188,4,2
188,201120189,8,0
189,201120190,3,0
190,201120191,2,0
191,201120192,2,0
192,201120193,1,1
193,201120194,2,1
194,201120195,1,5
195,201120196,3,2
196,201120197,1,0
197,201120198,2,5
198,201120199,1,2
199,201120200,3,2
200,201120201,3,1
201,201120202,4,4
202,201120203,0,3
203,201120204,1,1
204,201120205,2,2
205,201120206,0,1
206,201120207,3,1
207,201120208,2,0
208,201120209,0,2
209,201120210,4,2
210,201120211,1,2
211,201120212,0,1
212,201120213,2,2
213,201120214,4,2
214,201120215,1,5
215,201120216,1,2
216,201120217,0,4
217,201120218,1,3
218,201120219,1,2
219,201120220,1,3
220,201120221,3,0
221,201120222,1,1
222,201120223,1,1
223,201120224,1,1
224,201120225,3,1
225,201120226,2,0
226,201120227,2,0
